key;version;w_key;w_wins1v1;w_wins2v2;l_key;l_wins1v1;l_wins2v2;date;notes
431;1.09v3.1;HASQ;3;0;ECTH;0;0;2026-01-27;
430;1.09v3.1;OTTO;5;0;TARANTULA;4;0;2026-01-25;
429;1.09v3.1;MATHIAS;4;0;TARANTULA;0;0;2026-01-24;
428;1.09v3.1;LEV;4;0;SEVENOILS;1;0;2026-01-24;
427;1.09v3.1;OTTO;5;0;MATHIAS;1;0;2026-01-18;
426;1.09v3.1;OTTO;5;0;LEV;3;0;2026-01-15;
425;1.09v3.1;LEV;4;0;HASQ;3;0;2026-01-08;
424;1.09v3.1;MATHIAS;3;0;LEV;0;0;2026-01-02;
423;1.09v3.1;OTTO;5;0;ECTH;3;0;2025-12-25;
422;NO_SCORE_MODE;SEVENOILS;0;0;ECTH;0;0;2025-12-21;
421;1.09v3.1;MATHIAS;4;0;GANNICUS;1;0;2025-12-20;
420;1.09v3.1;GANNICUS;4;0;HASQ;0;0;2025-12-19;
419;1.09v3.1;LEV;4;0;HITMACHINE;3;0;2025-11-16;
418;1.09v3.1;OTTO;4;0;HITMACHINE;0;0;2025-11-11;
417;1.09v3.1;OTTO;5;0;HITMACHINE;1;0;2025-11-10;
416;1.09v3.1;OTTO;5;0;HITMACHINE;1;0;2025-11-07;
415;1.09v3.1;OTTO;5;0;HITMACHINE;0;0;2025-11-01;
414;1.09v3.1;OTTO;3;0;HITMACHINE;0;0;2025-10-31;
413;1.09v3.1;OTTO;3;0;HITMACHINE;0;0;2025-10-28;
412;1.09v3.1;YUSUF;5;0;ASTRO;2;0;2025-10-27;
411;1.09v3.1;ASTRO;5;0;OTTO;1;0;2025-10-26;
410;1.09v3.1;CASPER;5;0;OTTO;1;0;2025-10-26;
409;1.09v3.1;LEV;4;0;HASQ;3;0;2025-10-25;
408;1.09v3.1;ANDY;5;0;MATHIAS;2;0;2025-10-25;
407;1.09v3.1;ASTRO;5;0;CASPER;4;0;2025-10-24;
406;1.09v3.1;YUSUF;5;0;ASTRO;0;0;2025-10-21;
405;1.09v3.1;OTTO;5;0;HASQ;3;0;2025-10-20;
404;1.09v3.1;CASPER;5;0;OTTO;1;0;2025-10-19;
403;1.09v3.1;ASTRO;5;0;OTTO;1;0;2025-10-18;
402;1.09v3.1;OTTO;5;0;LEV;1;0;2025-10-17;
401;1.09v3.1;LEV;5;0;OTTO;4;0;2025-10-17;
400;1.09v3.1;CASPER;5;0;OTTO;0;0;2025-10-15;
399;1.09v3.1;YUSUF;5;0;AHWE;2;0;2025-10-12;
398;1.09v3.1;ANDY;5;0;SEVENOILS;2;0;2025-10-11;
397;1.09v3.1;AHWE;5;0;ASTRO;2;0;2025-10-09;
396;1.09v3.1;ASTRO;5;0;SEVENOILS;0;0;2025-10-08;
395;1.09v3.1;SEVENOILS;4;0;LEV;0;0;2025-10-07;
394;1.09v3.1;YUSUF;5;0;ASTRO;2;0;2025-09-30;
393;1.09v3.1;YUSUF;5;0;ASTRO;3;0;2025-09-30;
392;1.09v3.1;YUSUF;5;0;ASTRO;4;0;2025-09-29;
391;1.09v3.1;HASQ;4;0;SEVENOILS;3;0;2025-09-20;
390;NO_SCORE_MODE;SEVENOILS;0;0;KIDD;0;0;2025-09-25;
